index,ms
452,19.717
453,18.707
454,12.277
455,11.100
456,10.839
457,12.127
458,20.333
459,32.775
460,12.658
461,23.433
462,21.755
463,9.866
464,18.654
465,8.678
466,12.122
467,10.492
468,18.536
469,9.372
470,18.236
471,20.226
472,38.355
473,10.982
474,19.355
475,9.628
476,20.342
477,31.302
478,7.078
479,17.691
480,11.341
481,19.309
482,28.690
483,9.003
484,14.896
485,9.345
486,12.552
487,14.494
488,8.408
489,13.702
490,8.781
491,15.436
492,10.001
493,10.224
494,18.725
495,25.905
496,13.220
497,16.637
498,9.167
499,10.149
500,18.570
501,17.057
502,17.746
503,19.225
504,15.528
505,7.402
506,22.218
507,6.845
508,15.147
509,9.973
510,9.800
511,18.868
512,8.846
513,12.901
514,7.943
515,20.956
516,7.468
517,15.063
518,9.106
519,14.050
520,7.700
521,8.636
522,7.232
523,14.235
524,14.247
525,12.896
526,8.391
527,7.527
528,15.913
529,8.045
530,7.722
531,11.974
532,6.252
533,5.927
534,10.993
535,6.317
536,10.561
537,10.928
538,10.994
539,11.238
540,6.410
541,10.924
542,7.431
543,11.483
544,11.098
545,6.667
546,11.160
547,6.526
548,11.111
549,11.195
550,6.482
551,11.420
552,6.892
553,10.853
554,10.580
555,6.748
556,10.507
557,10.526
558,11.130
559,11.533
560,11.376
561,10.915
562,10.722
563,6.703
564,10.778
565,7.559
566,10.778
567,10.797
568,6.742
569,6.507
570,6.658
571,10.584
572,10.869
573,7.553
574,18.014
575,24.834
576,17.073
577,18.334
578,19.246
579,23.457
580,22.990
581,11.946
582,11.707
583,13.425
584,12.147
585,15.822
586,18.158
587,10.866
588,11.131
589,7.528
590,11.514
591,7.077
592,11.866
593,7.747
594,11.291
595,7.836
596,12.288
597,6.821
598,6.676
599,6.699
600,7.190
601,12.322
602,8.049
603,11.992
604,12.348
605,11.195
606,11.296
607,11.586
608,10.567
609,15.430
610,10.922
611,15.715
612,10.905
613,12.491
614,11.052
615,13.346
616,13.479
617,15.139
618,13.953
619,11.166
620,13.240
621,10.744
622,11.375
623,10.577
624,11.215
625,6.508
626,6.775
627,6.634
628,10.886
629,10.871
630,6.758
631,11.978
632,11.088
633,10.431
634,10.440
635,6.614
636,7.898
637,11.906
638,12.037
639,11.584
640,11.710
641,11.403
642,6.575
643,11.046
644,6.604
645,10.548
646,11.745
647,11.496
648,6.902
649,10.823
650,11.185
651,11.265
652,7.874
653,12.554
654,8.412
655,12.385
656,11.216
657,10.989
658,11.041
659,12.368
660,7.015
661,10.828
662,7.320
663,6.406
664,10.840
665,6.556
666,11.365
667,11.076
668,11.438
669,11.492
670,7.940
671,11.410
672,6.396
673,11.306
674,11.673
675,11.475
676,12.075
677,8.727
678,7.536
679,11.693
680,10.777
681,6.652
682,8.270
683,12.285
684,18.158
685,12.143
686,12.817
687,12.481
688,12.691
689,11.901
690,13.775
691,9.726
692,16.121
693,14.022
694,13.687
695,8.225
696,12.312
697,12.107
698,13.996
699,16.280
700,14.171
701,7.658
702,24.746
703,16.234
704,14.689
705,7.615
706,15.703
707,9.787
708,9.412
709,21.943
710,8.251
711,26.097
712,10.091
713,17.247
714,10.362
715,9.124
716,9.274
717,17.923
718,9.340
719,10.222
720,9.205
721,15.544
722,8.251
723,8.925
724,17.573
725,9.810
726,18.569
727,10.361
728,11.817
729,30.825
730,11.133
731,22.924
732,24.134
733,11.147
734,21.954
735,12.286
736,20.939
737,7.812
738,6.541
739,8.104
740,7.106
741,7.426
742,14.303
743,7.258
744,18.443
745,17.233
746,13.143
747,21.999
748,10.547
749,17.347
750,9.022
751,17.876
752,18.074
753,18.922
754,11.727
755,7.130
756,19.635
757,15.733
758,16.081
759,9.210
760,8.399
761,16.170
762,11.428
763,21.805
764,13.846
765,24.231
766,12.534
767,12.453
768,11.604
769,19.369
770,11.659
771,20.930
772,10.921
773,11.999
774,10.888
775,10.067
776,20.277
777,10.624
778,22.007
779,21.985
780,12.719
781,20.151
782,9.315
783,20.685
784,13.442
785,36.258
786,26.149
787,12.014
788,10.618
789,11.225
790,10.758
791,16.831
792,19.224
793,16.859
794,17.689
795,9.360
796,12.059
797,19.335
798,19.618
799,10.272
800,9.925
801,9.709
802,9.085
803,14.037
804,8.220
805,8.688
806,16.837
807,9.483
808,18.512
809,9.813
810,17.662
811,32.760
812,12.005
813,21.207
814,20.925
815,22.678
816,25.066
817,22.817
818,11.390
819,20.234
820,13.097
821,15.314
822,8.585
823,8.505
824,14.932
825,16.142
826,10.225
827,17.794
828,10.415
829,18.913
830,9.208
831,15.690
832,9.627
833,24.186
834,10.548
835,19.430
836,9.787
837,9.824
838,27.388
839,11.321
840,28.048
841,10.661
842,24.960
843,23.895
844,22.375
845,10.039
846,18.809
847,18.640
848,18.225
849,10.121
850,11.200
851,10.086
852,15.392
853,8.500
854,13.094
855,8.535
856,15.675
857,8.578
858,9.628
859,9.826
860,10.313
861,19.342
862,7.914
863,20.246
864,19.966
865,36.713
866,23.757
867,12.108
868,20.479
869,16.570
870,15.707
871,7.974
872,9.103
873,9.038
874,9.162
875,17.663
876,13.813
877,15.288
878,6.959
879,12.208
880,7.964
881,9.316
882,10.972
883,11.081
884,20.445
885,9.309
886,8.606
887,10.195
888,10.302
889,17.911
890,9.967
891,19.706
892,18.144
893,10.948
894,10.094
895,21.695
896,22.375
897,11.644
898,13.863
899,14.953
900,26.012
901,13.026
902,20.407
903,13.474
904,10.448
905,9.921
906,19.114
907,11.121
908,19.156
909,16.658
910,38.973
911,18.734
912,18.466
913,19.242
914,19.630
915,10.797
916,11.054
917,10.480
918,19.478
919,10.036
920,24.197
921,12.082
922,27.174
923,13.909
924,12.999
925,13.824
926,25.301
927,11.489
928,12.884
929,11.965
930,20.439
931,19.734
932,17.579
933,17.953
934,17.611
935,19.693
936,10.633
937,19.041
938,10.704
939,10.183
940,11.707
941,21.072
942,10.966
943,26.139
944,10.624
945,25.978
946,8.044
947,8.081
948,16.462
949,9.371
950,18.906
951,17.239
952,18.022
953,20.050
954,9.988
955,16.758
956,15.187
957,14.815
958,16.301
959,9.636
960,9.060
961,12.654
962,6.598
963,18.171
964,9.069
965,17.474
966,17.009
967,9.302
968,18.194
969,9.920
970,16.795
971,26.191
972,10.320
973,7.441
974,15.245
975,10.613
976,10.018
977,22.057
978,24.909
979,21.564
980,9.236
981,16.411
982,8.841
983,16.985
984,17.399
985,17.731
986,9.898
987,16.505
988,10.406
989,18.013
990,8.952
991,9.743
992,18.375
993,10.753
994,10.523
995,16.991
996,16.397
997,17.565
998,10.091
999,18.776
1000,9.862
1001,9.835
1002,15.238
1003,9.741
1004,24.130
1005,14.125
1006,12.904
1007,19.417
1008,10.704
1009,14.014
1010,14.510
1011,20.346
1012,18.357
1013,9.082
1014,15.146
1015,6.633
1016,12.583
1017,12.865
1018,13.388
1019,14.849
1020,12.133
1021,20.074
1022,7.921
1023,14.187
1024,8.765
1025,7.977
1026,6.598
1027,8.149
1028,14.412
1029,8.883
1030,9.917
1031,16.840
1032,20.048
1033,10.694
1034,22.236
1035,16.866
1036,19.403
1037,13.169
1038,10.273
1039,18.505
1040,14.494
1041,18.513
1042,17.002
1043,16.922
1044,19.962
1045,7.536
1046,13.957
1047,9.415
1048,16.677
1049,16.402
1050,7.634
1051,13.634
1052,14.489
1053,8.312
1054,8.468
1055,8.544
1056,17.351
1057,17.811
1058,14.486
1059,8.206
1060,16.251
1061,17.258
1062,10.985
1063,9.999
1064,12.764
1065,10.332
1066,17.645
1067,10.482
1068,9.761
1069,18.097
1070,18.400
1071,8.552
1072,9.899
1073,18.265
1074,17.523
1075,9.171
1076,9.749
1077,10.612
1078,19.369
1079,9.601
1080,10.683
1081,18.250
1082,64.567
1083,10.122
1084,12.284
1085,12.413
1086,19.613
1087,141.936
1088,12.653
1089,19.840
1090,87.531
1091,11.406
1092,10.786
1093,20.037
1094,66.177
1095,9.966
1096,11.036
1097,18.104
1098,119.931
1099,25.077
1100,14.158
1101,21.409
1102,12.478
1103,13.166
1104,25.229
1105,76.351
1106,14.373
1107,24.197
1108,51.420
1109,12.514
1110,22.584
1111,65.575
1112,11.895
1113,14.666
1114,8.273
1115,17.108
1116,44.313
1117,10.313
1118,19.197
1119,39.685
1120,16.582
1121,18.686
1122,10.398
1123,19.334
1124,9.913
1125,17.656
1126,9.192
1127,17.528
1128,10.510
1129,7.958
1130,7.138
1131,7.019
1132,8.613
1133,15.945
1134,17.575
1135,9.818
1136,18.875
1137,11.267
1138,22.194
1139,11.827
1140,11.511
1141,10.255
1142,25.241
1143,13.965
1144,26.651
1145,11.108
1146,10.243
