index,ms
1158,13.593
1159,13.633
1160,26.326
1161,20.300
1162,13.765
1163,13.798
1164,13.645
1165,19.811
1166,26.069
1167,32.653
1168,13.783
1169,20.308
1170,20.285
1171,19.913
1172,25.992
1173,13.845
1174,26.669
1175,20.540
1176,33.562
1177,13.742
1178,20.577
1179,26.318
1180,40.556
1181,19.775
1182,20.305
1183,13.580
1184,26.004
1185,33.866
1186,13.817
1187,20.539
1188,19.725
1189,25.953
1190,32.728
1191,19.688
1192,20.371
1193,13.822
1194,26.160
1195,20.275
1196,19.927
1197,20.294
1198,19.713
1199,26.231
1200,20.055
1201,19.700
1202,25.970
1203,32.707
1204,20.494
1205,26.085
1206,13.606
1207,19.892
1208,27.097
1209,25.982
1210,25.990
1211,26.964
1212,20.316
1213,13.783
1214,33.566
1215,13.646
1216,26.348
1217,19.628
1218,19.628
1219,27.048
1220,13.648
1221,20.525
1222,19.626
1223,32.703
1224,19.889
1225,26.768
1226,19.958
1227,26.332
1228,19.603
1229,19.848
1230,13.594
1231,20.557
1232,20.262
1233,20.254
1234,19.862
1235,19.833
1236,20.366
1237,19.568
1238,13.861
1239,20.202
1240,13.845
1241,13.653
1242,25.994
1243,14.853
1244,20.322
1245,20.551
1246,26.334
1247,26.625
1248,19.909
1249,25.945
1250,13.750
1251,26.254
1252,20.473
1253,19.989
1254,26.329
1255,19.651
1256,25.995
1257,25.979
1258,19.827
1259,26.592
1260,13.758
1261,26.031
1262,20.226
1263,19.910
1264,20.275
1265,20.347
1266,20.574
1267,20.480
1268,26.376
1269,20.285
1270,20.168
1271,19.938
1272,20.238
1273,13.829
1274,20.261
1275,20.310
1276,19.844
1277,13.776
1278,13.610
1279,20.218
1280,20.278
1281,13.775
1282,20.267
1283,26.349
1284,20.550
1285,20.258
1286,20.153
1287,26.498
1288,20.299
1289,20.264
1290,20.546
1291,26.256
1292,26.248
1293,19.605
1294,26.342
1295,20.215
1296,20.122
1297,19.603
1298,20.230
1299,19.543
1300,20.485
1301,19.734
